imageurl,genre,imdbid,title,imdbrating,released,synopsis,type
"https://m.media-amazon.com/images/M/MV5BOGJmZjcxNTAtYjViZS00YzJmLTlkMzgtZmVkYTQ5YjUwMjIyXkEyXkFqcGdeQXVyNjMwMzc3MjE@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Adventure, Sci-Fi",tt6723592,Tenet,7.3,2020,"Armed with only one word -- Tenet -- and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",movie
,"Action, Drama, Sport",tt6539992,Embattled,6.5,2020,"A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",movie
"https://m.media-amazon.com/images/M/MV5BMjU3ODRmMWMtMDU5OS00ZWFkLWI1NjMtNzZkN2Y0MjQ2YzlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzMxMDc0Njk@._V1_UY268_CR137,0,182,268_AL_.jpg",Action,tt6359464,Red Cargo,7.4,2020,"Two undercover agents sent to get rid of rhino poaching syndicate, become the hunted after discovering that high ranking government officials are implicated.",movie
"https://m.media-amazon.com/images/M/MV5BZTFkZjYxNWItZmE2MC00MGE4LWIxYTgtZmIzOWM1YmI2YWEzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Drama, History",tt6048922,Greyhound,7.0,2020,"Early in World War II, an inexperienced U.S. Navy captain must lead an Allied convoy being stalked by Nazi U-boat wolfpacks.",movie
"https://m.media-amazon.com/images/M/MV5BNGNhZTk5M2MtMzUzYy00NmZkLTljZmItZTU5MDU4Y2M0N2I4XkEyXkFqcGdeQXVyMjM1NTY3Njk@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Horror",tt5654204,#Slaughterhouse,6.8,2020,A romantic spring getaway turns sinister when unexpected visitors join the party in a high-tech house that no one can escape.,movie
"https://m.media-amazon.com/images/M/MV5BN2NiYzMyZmQtMDBkNC00Y2NkLWI1NjctZmQyNjM3ZWQ5YTc4XkEyXkFqcGdeQXVyMzAyNDMxMDQ@._V1_UY268_CR3,0,182,268_AL_.jpg","Action, Thriller",tt5612690,No Remorse,6.2,2020,,movie
"https://m.media-amazon.com/images/M/MV5BMTg4NjQwNjk0NV5BMl5BanBnXkFtZTgwMzcyNTc1NzE@._V1_UY268_CR3,0,182,268_AL_.jpg","Action, Comedy, Crime",tt5274150,"Banned, Exploited & Blacklisted: The Underground Work of Controversial Filmmaker Shane Ryan",6.2,2020,"A collection of Ryan's work including short films, music videos, trailers/clips from both released feature films and uncompleted features, concept trailers, behind-the-scenes footage, interviews, and Ryan's childhood filmmaker beginnings.",movie
"https://m.media-amazon.com/images/M/MV5BMThlZjkzMzAtMGNiMy00ZjNiLWI4N2UtOTY5NTkyMGRiNTI4L2ltYWdlXkEyXkFqcGdeQXVyMTg1MTg3Njc@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Comedy, Crime",tt4424284,Seth and Tia,6.7,2020,"Two patients, Seth and Tia develop a friendship during their stay in a mental institution. They decide to make a plan to break out, but they can't do it alone,so they ally with an enemy ...",movie
"https://m.media-amazon.com/images/M/MV5BMDM3YjZlMjctNmNiMC00NTIxLWE2OWMtNmU2NDMzNTUxNGFiXkEyXkFqcGdeQXVyNTA4NDgzMw@@._V1_UY268_CR1,0,182,268_AL_.jpg","Action, Crime",tt3290322,The Runners,6.0,2020,"When his little sister is abducted from a homecoming after-party in rural East Texas, Ryan is in a race against the clock to save her before she disappears into the underworld of sex trafficking forever.",movie
"https://m.media-amazon.com/images/M/MV5BMjc1ZTNhODctNTdmZC00YjJiLTljYWItOGI1Nzc3MTMzMzM2XkEyXkFqcGdeQXVyODM3MzI1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Comedy",tt3279024,Lumpia with a Vengeance,7.8,2020,"The LUMPIA-armed hero reappears in Fogtown and teams up with high school student Rachel to prevent a mysterious crime syndicate from destroying their town, and her parents' dream wedding.",movie
"https://m.media-amazon.com/images/M/MV5BOGJlMTc5YmYtYjFlNi00ZDJiLWFhNWMtMjc0NDBjOWNkNjA1XkEyXkFqcGdeQXVyMTA5NzExNzM1._V1_UY268_CR110,0,182,268_AL_.jpg","Action, Crime, Drama",tt1838556,Honest Thief,6.0,2020,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",movie
"https://m.media-amazon.com/images/M/MV5BMWU0MGYwZWQtMzcwYS00NWVhLTlkZTAtYWVjOTYwZTBhZTBiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Comedy, Crime",tt1502397,Bad Boys for Life,6.5,2020,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,movie
"https://m.media-amazon.com/images/M/MV5BY2QyZTJmZTMtM2Q3Zi00NjUyLTk5NzctOTg0MjI4OWEwYjg3XkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_UY268_CR9,0,182,268_AL_.jpg","Action, Adventure, Animation",tt12093878,LEGO DC: Shazam - Magic & Monsters,6.2,2020,"When the boy hero Shazam is offered to join the Justice League he is reluctant about it, but when his rivals the Monster Society put the League in peril he's the only one who can save them.",movie
,Action,tt12065884,Hurricane Tsunami: Oceans Rising,6.9,2020,,movie
"https://m.media-amazon.com/images/M/MV5BMTYyOTIwYmYtZmQyMi00MTUwLWI2ZDItYTBjNDVhMWFhNWFlXkEyXkFqcGdeQXVyMTE1NjI5NTc2._V1_UY268_CR9,0,182,268_AL_.jpg","Action, Adventure, Mystery",tt12059646,Anonymous Vol. 1 - The Dreamland Adventures the Mysteries of Atlantis,7.8,2020,A Agent inside a dark NASA division using alien technology is hi-jacked by a new nation in Antarctica rising from the roots of Hitler's Vrill society. Agent Schwartz turns to his Russian ...,movie
"https://m.media-amazon.com/images/M/MV5BNWIxOTNiZGItZjNiMi00OTY2LTk5NjYtYjlmNDhkYjE1OGNiXkEyXkFqcGdeQXVyOTEyNjEzNjg@._V1_UY268_CR3,0,182,268_AL_.jpg","Action, Drama",tt12043434,A Free Can Gangster,7.7,2020,"A young Senegalese immigrant is trying to survive in London after the home office has rejected his application for residency.Lost his father from prostate Cancer, he need to find away to ...",movie
"https://m.media-amazon.com/images/M/MV5BYTlhYjRmYmUtYTJlMS00OWMyLTk4MzUtMDQ3ODU3MWZjMDNkXkEyXkFqcGdeQXVyODk1MzE0Mzk@._V1_UY268_CR147,0,182,268_AL_.jpg","Action, Adventure, Animation",tt12042710,Enchantimals: Spring Into Harvest Hills,6.1,2020,,movie
,Action,tt11958194,Liverpool vs Atletico Madrid,6.8,2020,,movie
"https://m.media-amazon.com/images/M/MV5BZDBiZGQ0YjgtNzY1Mi00MTNiLThjODktMjBhMDA4OGQ5M2YwXkEyXkFqcGdeQXVyNjA0MDQ1NTc@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Drama",tt11946452,Crossing the Line,6.8,2020,"A Mexican Sicario runs into a world of challenges when the cartel leader, ""The Viper"" assigns a Middle Eastern Hitman to accompany him on missions. The Iraqi methods are different than the established norms of the cartel.",movie
"https://m.media-amazon.com/images/M/MV5BZTgyNWM0NDktOWI5Ny00YjhhLWJjZmMtOTc0ODM0MjQzOTdlXkEyXkFqcGdeQXVyNjQ4Njg2NDc@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Crime, Drama",tt11899710,Hitter Twist,7.6,2020,"A genius, seventeen-year-old drug dealer/musician comes to realize that the 'victimless crime' of helping his friends get high has connected him with vicious mobsters and ruthless thieves. ...",movie
"https://m.media-amazon.com/images/M/MV5BN2EzYzhlNjUtNjE5Ni00MzE1LWE2NDgtZDEwYjY5N2ZhNjQ0XkEyXkFqcGdeQXVyMTE4NzcwOTM4._V1_UY268_CR3,0,182,268_AL_.jpg","Action, Comedy, Horror",tt11890562,Concrete shark,7.8,2020,The director of the concrete plant fell into the concrete mixer. The devil from hell turned him into a concrete shark. Save the world from another monster will locksmiths Michael and Azamat.,movie
"https://m.media-amazon.com/images/M/MV5BYjg0YTMwZWItODg0NC00YTRjLWE5MTAtZTdmNjQ0Y2Q0NGEzXkEyXkFqcGdeQXVyMTkwNzExODQ@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Mystery, Thriller",tt11714030,Hell Hole,7.1,2020,"Just outside a desolate ghost town, inside a long-abandoned gold mine, lurks a dark being, conjured by the Shanowah tribe ages ago to destroy those that threatened to wipe out their people....",movie
"https://m.media-amazon.com/images/M/MV5BZDk4ZDM0YmQtOTRjMC00MmYyLTgyZjAtNzE3YzVhZWM3MmMzXkEyXkFqcGdeQXVyMTEyOTgxMDA5._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Comedy",tt11690838,The Legend of Baron To'a,6.3,2020,"Fritz, a young Tongan man grappling with his wrestling superstar father Baron To'a's legacy, both metaphorically and literally following in his deceased father's footsteps by fighting for the return of his dad's stolen championship belt.",movie
"https://m.media-amazon.com/images/M/MV5BOTY1MTQ1NzgtZTQwNi00ZjA2LTllNWUtNjY0MzY1ZDI1YjM5XkEyXkFqcGdeQXVyMTAwNDYzNzgz._V1_UY268_CR159,0,182,268_AL_.jpg","Action, Biography, Documentary",tt11634288,Battle of Little Bighorn,6.0,2020,The U.S. expands westward after the Civil War displacing the last of the free-roaming Native Americans onto Reservations. This show focuses special attention on General George A. Custer and...,movie
"https://m.media-amazon.com/images/M/MV5BOGQzZDE2MDctNTUwNy00MDY1LThlOTItMzE5MWViNTFjMDBiXkEyXkFqcGdeQXVyODkxNzcyODc@._V1_UY268_CR98,0,182,268_AL_.jpg",Action,tt11343368,Pocket Full of Game,6.4,2020,"Porsha is a female hustler who has it all money, beauty, respect. She earned it all by being loyal and respecting the codes of the street. A chance encounter with a stick up kid named Fresh introduces her to a whole new world.",movie
"https://m.media-amazon.com/images/M/MV5BOWJlY2M2NTktZWYxYi00ZWNjLTlhNmMtYjM0ZjBjY2JhZTgxXkEyXkFqcGdeQXVyMTAxMzMxNjk2._V1_UY268_CR7,0,182,268_AL_.jpg",Action,tt11207956,Sierra Sisters: The Hunt for Blackbeards Treasure,7.6,2020,Follow treasure hunting sisters Hera and Athena as they embark on a journey to find the legendary treasure of Blackbeard the pirate. Along the way they encounter shadowy figures and ...,movie
"https://m.media-amazon.com/images/M/MV5BNjdjOTI0NmYtNGEzYy00MmE3LWFkNDItZmU2YWJkODFmNjg1XkEyXkFqcGdeQXVyNTE3Njk0Ng@@._V1_UY268_CR16,0,182,268_AL_.jpg",Action,tt11131480,16 Bars,7.5,2020,"This story follows Drew (played by emerging musical artist, Vyse), an aspiring young rapper as he is faced with the life struggles that led to his residence in a group home while balancing ...",movie
"https://m.media-amazon.com/images/M/MV5BZjk0ZTk4OTQtYWYyZC00MTU5LTkxMjQtZDRlYjRkN2Y3ZjA5XkEyXkFqcGdeQXVyOTA1MDE3OA@@._V1_UY268_CR4,0,182,268_AL_.jpg","Action, Comedy",tt11041352,Action,6.2,2020,"An American action star from the 90's is shooting a movie in Bulgaria, while three of his (now grown up) fans try to meet their childhood idol. After a series of bad decisions, the three ...",movie
